reading score,test preparation course
"90",completed
"95",completed
"64",completed
"72",completed
"75",completed
"71",completed
"81",completed
"90",completed
"65",completed
"65",completed
"74",completed
"84",completed
"69",completed
"84",completed
"85",completed
"59",completed
"74",completed
"63",completed
"55",completed
"78",completed
"74",completed
"81",completed
"66",completed
"72",completed
"74",completed
"86",completed
"63",completed
"89",completed
"100",completed
"92",completed
"89",completed
"93",completed
"77",completed
"74",completed
"81",completed
"79",completed
"54",completed
"61",completed
"55",completed
"75",completed
"100",completed
"67",completed
"70",completed
"89",completed
"74",completed
"86",completed
"78",completed
"88",completed
"100",completed
"51",completed
"76",completed
"83",completed
"75",completed
"73",completed
"51",completed
"91",completed
"54",completed
"77",completed
"70",completed
"100",completed
"68",completed
"52",completed
"67",completed
"66",completed
"83",completed
"62",completed
"84",completed
"69",completed
"84",completed
"71",completed
"80",completed
"79",completed
"51",completed
"91",completed
"83",completed
"86",completed
"56",completed
"68",completed
"66",completed
"95",completed
"82",completed
"60",completed
"68",completed
"70",completed
"70",completed
"77",completed
"81",completed
"79",completed
"79",completed
"92",completed
"85",completed
"92",completed
"63",completed
"78",completed
"82",completed
"82",completed
"76",completed
"60",completed
"77",completed
"74",completed
"78",completed
"84",completed
"75",completed
"87",completed
"61",completed
"67",completed
"64",completed
"82",completed
"79",completed
"75",completed
"56",completed
"70",completed
"55",completed
"76",completed
"72",completed
"94",completed
"78",completed
"66",completed
"84",completed
"58",completed
"58",completed
"73",completed
"97",completed
"95",completed
"100",completed
"67",completed
"54",completed
"74",completed
"54",completed
"99",completed
"65",completed
"57",completed
"84",completed
"71",completed
"83",completed
"67",completed
"72",completed
"74",completed
"56",completed
"93",completed
"58",completed
"58",completed
"85",completed
"88",completed
"81",completed
"74",completed
"81",completed
"85",completed
"65",completed
"58",completed
"67",completed
"88",completed
"85",completed
"86",completed
"90",completed
"76",completed
"62",completed
"71",completed
"53",completed
"82",completed
"64",completed
"78",completed
"87",completed
"89",completed
"61",completed
"97",completed
"87",completed
"74",completed
"78",completed
"78",completed
"52",completed
"61",completed
"67",completed
"61",completed
"88",completed
"69",completed
"83",completed
"60",completed
"66",completed
"92",completed
"69",completed
"82",completed
"83",completed
"100",completed
"67",completed
"90",completed
"72",completed
"75",completed
"90",completed
"80",completed
"100",completed
"71",completed
"75",completed
"66",completed
"55",completed
"51",completed
"56",completed
"75",completed
"100",completed
"79",completed
"89",completed
"60",completed
"90",completed
"73",completed
"51",completed
"96",completed
"97",completed
"70",completed
"51",completed
"74",completed
"80",completed
"92",completed
"88",completed
"79",completed
"81",completed
"79",completed
"56",completed
"80",completed
"86",completed
"70",completed
"60",completed
"73",completed
"72",completed
"84",completed
"77",completed
"64",completed
"78",completed
"82",completed
"66",completed
"99",completed
"75",completed
"74",completed
"82",completed
"78",completed
"81",completed
"84",completed
"63",completed
"61",completed
"84",completed
"85",completed
"70",completed
"94",completed
"78",completed
"96",completed
"73",completed
"59",completed
"90",completed
"74",completed
"75",completed
"51",completed
"77",completed
"89",completed
"66",completed
"73",completed
"84",completed
"69",completed
"77",completed
"90",completed
"68",completed
"59",completed
"77",completed
"81",completed
"75",completed
"62",completed
"67",completed
"79",completed
"85",completed
"85",completed
"59",completed
"81",completed
"51",completed
"84",completed
"68",completed
"73",completed
"80",completed
"64",completed
"84",completed
"86",completed
"70",completed
"90",completed
"52",completed
"68",completed
"86",completed
"86",completed
"82",completed
"64",completed
"82",completed
"57",completed
"77",completed
"65",completed
"85",completed
"71",completed
"82",completed
"74",completed
"72",completed
"84",completed
"64",completed
"70",completed
"76",completed
"100",completed
"85",completed
"74",completed
"78",completed
"54",completed
"78",completed
"100",completed
"84",completed
"64",completed
"61",completed
"62",completed
"100",completed
"77",completed
"96",completed
"64",completed
"61",completed
"74",completed
"71",completed
"75",completed
"87",completed
"81",completed
"68",completed
"66",completed
"62",completed
"50",completed
"75",completed
"77",completed
"52",completed
"76",completed
"68",completed
"72",completed
"50",completed
"82",completed
"62",completed
"85",completed
"87",completed
"75",completed
"86",completed
"81",completed
"82",completed
"99",completed
"71",completed
"78",completed
