gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,master's degree,standard,none,"90","95","93"
male,group C,high school,standard,none,"88","89","86"
male,group E,some college,standard,none,"97","87","82"
female,group D,associate's degree,standard,none,"85","91","89"
female,group B,high school,standard,none,"87","95","86"
male,group D,master's degree,standard,none,"89","84","82"
female,group E,master's degree,standard,none,"81","92","91"
male,group C,associate's degree,standard,none,"84","80","80"
female,group E,bachelor's degree,standard,none,"80","83","83"
female,group E,high school,standard,none,"99","93","90"
female,group C,some college,standard,none,"82","90","94"
female,group C,bachelor's degree,standard,none,"83","93","95"
female,group D,some college,standard,none,"80","90","89"
female,group D,some high school,standard,none,"80","90","82"
female,group B,associate's degree,standard,none,"80","86","83"
female,group C,associate's degree,standard,none,"85","89","95"
male,group C,bachelor's degree,standard,none,"86","83","86"
female,group E,some college,standard,none,"100","92","97"
female,group C,some college,standard,none,"84","87","91"
female,group C,some college,standard,none,"83","83","90"
female,group C,bachelor's degree,standard,none,"81","88","90"
female,group B,some high school,standard,none,"82","82","80"
female,group C,bachelor's degree,standard,none,"86","92","87"
female,group C,associate's degree,standard,none,"91","86","84"
female,group D,associate's degree,standard,none,"82","95","89"
male,group A,bachelor's degree,standard,none,"91","96","92"
female,group B,high school,standard,none,"81","91","89"
female,group D,some high school,standard,none,"81","97","96"
female,group C,associate's degree,standard,none,"85","84","82"
female,group A,associate's degree,standard,none,"82","93","93"
male,group D,master's degree,standard,none,"95","81","84"
male,group D,some high school,standard,none,"84","84","80"
male,group D,associate's degree,standard,none,"90","87","85"
male,group E,some college,free/reduced,none,"93","90","83"
male,group D,master's degree,standard,none,"81","81","84"
female,group C,high school,standard,none,"81","84","82"
female,group E,associate's degree,standard,none,"84","95","92"
female,group E,associate's degree,standard,none,"87","94","95"
female,group B,some college,standard,none,"82","85","87"
male,group E,master's degree,standard,none,"90","85","84"
female,group E,some college,standard,none,"87","85","93"
female,group B,bachelor's degree,standard,none,"97","97","96"
female,group E,master's degree,free/reduced,none,"81","86","87"
male,group C,associate's degree,standard,none,"97","93","91"
male,group E,associate's degree,free/reduced,none,"90","90","82"
male,group D,some college,standard,none,"81","82","84"
female,group E,associate's degree,standard,none,"85","92","85"
male,group D,master's degree,standard,none,"85","84","89"
male,group B,high school,standard,none,"82","82","80"
male,group C,some college,standard,none,"84","87","81"
female,group C,associate's degree,standard,none,"91","95","94"
