gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,some college,standard,completed,"88","95","92"
male,group C,high school,standard,completed,"82","84","82"
female,group E,associate's degree,standard,completed,"82","85","86"
male,group C,some college,standard,completed,"98","86","90"
male,group B,associate's degree,standard,completed,"91","89","92"
female,group C,some college,standard,completed,"88","93","93"
female,group C,master's degree,standard,completed,"81","91","87"
male,group E,high school,standard,completed,"87","91","81"
female,group E,associate's degree,free/reduced,completed,"83","86","88"
female,group C,some college,standard,completed,"88","95","94"
male,group C,bachelor's degree,standard,completed,"83","82","84"
female,group D,associate's degree,standard,completed,"88","92","95"
female,group C,some high school,standard,completed,"85","92","93"
male,group B,associate's degree,standard,completed,"81","82","82"
male,group E,associate's degree,standard,completed,"97","82","88"
male,group E,some college,standard,completed,"99","87","81"
female,group D,some college,standard,completed,"82","97","96"
male,group D,associate's degree,standard,completed,"87","84","85"
female,group C,associate's degree,free/reduced,completed,"82","93","93"
male,group D,some high school,standard,completed,"89","88","82"
male,group C,high school,standard,completed,"86","81","80"
female,group C,associate's degree,standard,completed,"83","85","90"
female,group B,associate's degree,standard,completed,"90","90","91"
female,group B,associate's degree,standard,completed,"94","87","92"
female,group E,associate's degree,standard,completed,"95","89","92"
male,group A,associate's degree,standard,completed,"97","92","86"
male,group B,bachelor's degree,free/reduced,completed,"87","90","88"
male,group C,bachelor's degree,standard,completed,"96","90","92"
male,group D,master's degree,free/reduced,completed,"84","89","90"
male,group C,bachelor's degree,standard,completed,"94","90","91"
male,group A,some college,standard,completed,"100","96","86"
male,group D,some college,standard,completed,"100","97","99"
female,group D,some high school,standard,completed,"80","92","88"
female,group D,some college,standard,completed,"85","86","98"
male,group A,bachelor's degree,standard,completed,"87","84","87"
male,group C,some college,standard,completed,"93","84","90"
female,group E,some high school,standard,completed,"80","85","85"
female,group C,associate's degree,standard,completed,"96","96","99"
female,group C,some college,standard,completed,"87","89","94"
male,group B,some college,standard,completed,"87","84","86"
male,group E,associate's degree,standard,completed,"94","85","82"
male,group B,some high school,standard,completed,"94","86","87"
female,group A,some high school,standard,completed,"85","90","92"
male,group C,master's degree,standard,completed,"91","85","85"
male,group D,some college,standard,completed,"82","82","88"
female,group E,some college,standard,completed,"86","85","91"
male,group B,some college,standard,completed,"91","96","91"
male,group C,associate's degree,standard,completed,"98","87","90"
male,group D,some college,standard,completed,"85","81","85"
female,group E,master's degree,standard,completed,"88","99","95"
