gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,high school,free/reduced,completed,"64","64","67"
female,group C,associate's degree,free/reduced,none,"54","58","61"
female,group B,some college,free/reduced,completed,"65","75","70"
male,group D,bachelor's degree,free/reduced,completed,"74","71","80"
male,group A,master's degree,free/reduced,none,"73","74","72"
female,group E,master's degree,free/reduced,none,"56","72","65"
female,group D,some high school,free/reduced,none,"50","64","59"
female,group D,associate's degree,free/reduced,completed,"75","90","88"
male,group B,associate's degree,free/reduced,none,"57","56","57"
male,group C,associate's degree,free/reduced,none,"55","61","54"
male,group B,some college,free/reduced,completed,"59","65","66"
female,group E,associate's degree,free/reduced,none,"50","56","54"
female,group D,associate's degree,free/reduced,completed,"57","74","76"
male,group E,associate's degree,free/reduced,completed,"77","69","68"
female,group C,some high school,free/reduced,completed,"71","84","87"
male,group E,bachelor's degree,free/reduced,completed,"79","74","72"
male,group A,associate's degree,free/reduced,none,"62","61","55"
male,group B,associate's degree,free/reduced,none,"61","58","56"
female,group D,some college,free/reduced,completed,"58","63","73"
male,group C,some high school,free/reduced,none,"61","57","56"
female,group C,some college,free/reduced,none,"76","83","88"
male,group C,associate's degree,free/reduced,completed,"78","81","82"
female,group D,some college,free/reduced,none,"58","67","62"
female,group B,associate's degree,free/reduced,none,"52","76","70"
female,group D,associate's degree,free/reduced,completed,"77","89","98"
female,group B,bachelor's degree,free/reduced,none,"75","85","82"
male,group D,high school,free/reduced,none,"63","57","56"
male,group E,some college,free/reduced,completed,"87","74","70"
male,group D,bachelor's degree,free/reduced,completed,"74","79","75"
female,group C,some college,free/reduced,none,"59","62","64"
male,group C,associate's degree,free/reduced,none,"73","68","66"
female,group E,high school,free/reduced,completed,"66","74","78"
male,group B,some college,free/reduced,none,"60","60","60"
male,group D,associate's degree,free/reduced,none,"66","62","64"
male,group B,associate's degree,free/reduced,completed,"82","78","74"
female,group E,some college,free/reduced,completed,"75","88","85"
male,group C,high school,free/reduced,completed,"53","51","51"
female,group B,master's degree,free/reduced,completed,"58","76","78"
female,group C,some college,free/reduced,completed,"67","75","70"
female,group B,master's degree,free/reduced,completed,"52","70","62"
male,group C,master's degree,free/reduced,completed,"62","68","75"
male,group C,associate's degree,free/reduced,completed,"65","67","65"
male,group C,some high school,free/reduced,completed,"59","69","65"
male,group E,high school,free/reduced,none,"55","56","51"
female,group B,bachelor's degree,free/reduced,none,"78","79","76"
female,group D,some college,free/reduced,none,"65","81","77"
female,group B,some college,free/reduced,none,"74","81","76"
female,group B,some college,free/reduced,none,"58","61","66"
male,group D,some high school,free/reduced,completed,"80","79","79"
male,group C,associate's degree,free/reduced,completed,"60","51","56"
female,group E,associate's degree,free/reduced,completed,"83","86","88"
male,group B,high school,free/reduced,none,"66","77","70"
female,group C,some high school,free/reduced,none,"55","65","62"
male,group A,some high school,free/reduced,none,"68","72","64"
male,group D,bachelor's degree,free/reduced,none,"63","66","67"
